City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Kochi,IN,9.9399,76.2602,76.98,89,91,5.3,overcast clouds
276,Boyolangu,ID,-8.1181,111.8935,73.49,97,100,4.43,overcast clouds
277,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,3.44,overcast clouds
278,Biryusinsk,RU,55.9634,97.8235,-15.41,86,100,9.91,overcast clouds
279,Beidao,CN,34.5686,105.8933,48.79,85,83,3.47,broken clouds
280,Voyinka,UA,45.8699,33.9914,46.09,95,100,7.29,moderate rain
281,Muros,ES,42.7762,-9.0603,58.84,82,100,16.24,overcast clouds
282,Saint-Philippe,RE,-21.3585,55.7679,72.99,75,28,9.57,scattered clouds
283,Touros,BR,-5.1989,-35.4608,80.73,74,100,12.15,overcast clouds
284,Jojoima,SL,7.8792,-10.7878,77.04,70,100,3.06,overcast clouds
285,Amasya,TR,40.6667,35.8333,47.88,78,84,1.21,broken clouds
286,Severouralsk,RU,60.1533,59.952,-6.07,97,5,2.01,clear sky
287,Sorland,NO,67.667,12.6934,42.66,67,82,18.48,broken clouds
288,Krasnoborsk,RU,61.5598,45.934,3.69,98,18,1.9,few clouds
289,Eldama Ravine,KE,0.0516,35.7308,55.8,84,100,1.86,overcast clouds
290,Shenjiamen,CN,29.9576,122.298,63.21,74,100,11.03,overcast clouds
291,Victoria Point,AU,-27.5833,153.3,69.91,89,100,1.01,overcast clouds
292,Andros Town,BS,24.7,-77.7667,80.56,70,7,9.1,clear sky
293,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,79,40,8.05,scattered clouds
294,Nichinan,JP,31.6,131.3667,58.77,86,5,4.25,clear sky
295,Chiredzi,ZW,-21.05,31.6667,71.01,90,100,2.77,moderate rain
296,San-Pedro,CI,4.7485,-6.6363,78.19,83,10,5.41,clear sky
297,Ust-Uda,RU,54.1742,103.0304,-9.69,82,100,13.49,overcast clouds
298,Fallon,US,39.4735,-118.7774,52.92,46,35,5.19,scattered clouds
299,Noumea,NC,-22.2763,166.4572,75.0,99,1,5.61,clear sky
300,Vostok,RU,46.4856,135.8833,5.81,97,100,3.74,overcast clouds
301,Owase,JP,34.0667,136.2,54.37,86,4,6.87,clear sky
302,Nadym,RU,65.5333,72.5167,1.35,94,99,8.39,overcast clouds
